Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Boot","Motorbetrieben","Jollenkreuzer","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Mobilität","Boot","Motorbetrieben","Motorboot","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Mobilität","Boot","Motorbetrieben","Sportboot","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Mobilität","Boot","Motorbetrieben","Yacht","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Mobilität","Boot","Segeln","Segelboot","mobility","boat","sailing","sailing-boat","sailboat","mobility-boat-sailing-sailing-boat"
"Mobilität","Boot","Segeln","Segelyacht","mobility","boat","sailing","sailing-yacht","sailboat","mobility-boat-sailing-sailing-yacht"
"Mobilität","Fahrrad","Bike","City","mobility","bike","bike","city","bicycle","mobility-bike-bike-city"
"Mobilität","Fahrrad","Bike","Cross","mobility","bike","bike","cross","bicycle","mobility-bike-bike-cross"
"Mobilität","Fahrrad","Bike","Dreirad","mobility","bike","bike","tricycle","bicycle","mobility-bike-bike-tricycle"
"Mobilität","Fahrrad","Bike","Falt","mobility","bike","bike","folding-bike","bicycle","mobility-bike-bike-folding-bike"
"Mobilität","Fahrrad","Bike","Gravel","mobility","bike","bike","gravel","bicycle","mobility-bike-bike-gravel"
"Mobilität","Fahrrad","Bike","Lasten","mobility","bike","bike","cargo","bicycle","mobility-bike-bike-cargo"
"Mobilität","Fahrrad","Bike","Lifestyle","mobility","bike","bike","lifestyle","bicycle","mobility-bike-bike-lifestyle"
"Mobilität","Fahrrad","Bike","Mountainbike","mobility","bike","bike","mtb","bicycle","mobility-bike-bike-mtb"
"Mobilität","Fahrrad","Bike","Rennrad","mobility","bike","bike","racing-bike","bicycle","mobility-bike-bike-racing-bike"
"Mobilität","Fahrrad","Bike","Speed","mobility","bike","bike","speed-bike","bicycle","mobility-bike-bike-speed-bike"
"Mobilität","Fahrrad","Bike","SUV","mobility","bike","bike","suv","bicycle","mobility-bike-bike-suv"
"Mobilität","Fahrrad","Bike","Trekking","mobility","bike","bike","trekking-bike","bicycle","mobility-bike-bike-trekking-bike"
"Mobilität","Fahrrad","Bike","XXL","mobility","bike","bike","xxl","bicycle","mobility-bike-bike-xxl"
"Mobilität","Fahrrad","E-Bike","City","mobility","bike","e-bike","e-city","ebike","mobility-bike-e-bike-e-city"
"Mobilität","Fahrrad","E-Bike","Cross","mobility","bike","e-bike","e-cross","ebike","mobility-bike-e-bike-e-cross"
"Mobilität","Fahrrad","E-Bike","Dreirad","mobility","bike","e-bike","e-tricycle","ebike","mobility-bike-e-bike-e-tricycle"
"Mobilität","Fahrrad","E-Bike","Falt","mobility","bike","e-bike","e-folding-bike","ebike","mobility-bike-e-bike-e-folding-bike"
"Mobilität","Fahrrad","E-Bike","Gravel","mobility","bike","e-bike","e-gravel","ebike","mobility-bike-e-bike-e-gravel"
"Mobilität","Fahrrad","E-Bike","Lasten","mobility","bike","e-bike","e-cargo","ebike","mobility-bike-e-bike-e-cargo"
"Mobilität","Fahrrad","E-Bike","Lifestyle","mobility","bike","e-bike","e-lifestyle","ebike","mobility-bike-e-bike-e-lifestyle"
"Mobilität","Fahrrad","E-Bike","Mountainbike","mobility","bike","e-bike","e-mtb","ebike","mobility-bike-e-bike-e-mtb"
"Mobilität","Fahrrad","E-Bike","Rennrad","mobility","bike","e-bike","e-racing-bike","ebike","mobility-bike-e-bike-e-racing-bike"
"Mobilität","Fahrrad","E-Bike","Speed","mobility","bike","e-bike","e-speed-bike","ebike","mobility-bike-e-bike-e-speed-bike"
"Mobilität","Fahrrad","E-Bike","SUV","mobility","bike","e-bike","e-suv","ebike","mobility-bike-e-bike-e-suv"
"Mobilität","Fahrrad","E-Bike","Trekking","mobility","bike","e-bike","e-trekking-bike","ebike","mobility-bike-e-bike-e-trekking-bike"
"Mobilität","Fahrrad","E-Bike","XXL","mobility","bike","e-bike","e-xxl","ebike","mobility-bike-e-bike-e-xxl"
"Mobilität","Fahrrad","Pedelec","City","mobility","bike","pedelec","p-city","pedelec","mobility-bike-pedelec-p-city"
"Mobilität","Fahrrad","Pedelec","Cross","mobility","bike","pedelec","p-cross","pedelec","mobility-bike-pedelec-p-cross"
"Mobilität","Fahrrad","Pedelec","Dreirad","mobility","bike","pedelec","p-tricycle","pedelec","mobility-bike-pedelec-p-tricycle"
"Mobilität","Fahrrad","Pedelec","Falt","mobility","bike","pedelec","p-folding-bike","pedelec","mobility-bike-pedelec-p-folding-bike"
"Mobilität","Fahrrad","Pedelec","Gravel","mobility","bike","pedelec","p-gravel","pedelec","mobility-bike-pedelec-p-gravel"
"Mobilität","Fahrrad","Pedelec","Lasten","mobility","bike","pedelec","p-cargo","pedelec","mobility-bike-pedelec-p-cargo"
"Mobilität","Fahrrad","Pedelec","Lifestyle","mobility","bike","pedelec","p-lifestyle","pedelec","mobility-bike-pedelec-p-lifestyle"
"Mobilität","Fahrrad","Pedelec","Mountainbike","mobility","bike","pedelec","p-mtb","pedelec","mobility-bike-pedelec-p-mtb"
"Mobilität","Fahrrad","Pedelec","Rennrad","mobility","bike","pedelec","p-racing-bike","pedelec","mobility-bike-pedelec-p-racing-bike"
"Mobilität","Fahrrad","Pedelec","Speed","mobility","bike","pedelec","p-speed-bike","pedelec","mobility-bike-pedelec-p-speed-bike"
"Mobilität","Fahrrad","Pedelec","SUV","mobility","bike","pedelec","p-suv","pedelec","mobility-bike-pedelec-p-suv"
