"Kategorie","Unterkategorie","Unterkategoriegruppe","Gruppentyp","Entity","SubEntity","SubSubEntity","SubSubSubEntity","FormName","FormDefinition"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract","insurance","object","ebike","contract-insurance-object-ebike","contract-insurance-object-ebike"
"Verträge","Versicherung","Sach","Photovoltaik","contract","insurance","object","photovoltaic","contract-insurance-object-photovoltaic","contract-insurance-object-photovoltaic"
"Verträge","Versicherung","Sach","Mietausfall","contract","insurance","object","lossofrent","contract-insurance-object-lossofrent","contract-insurance-object-lossofrent"
"Verträge","Versicherung","Sach","Rechtsschutz","contract","insurance","object","legalprotection","contract-insurance-object-legalprotection","contract-insurance-object-legalprotection"
"Verträge","Versicherung","Sach","Umweltschäden","contract","insurance","object","environmentaldamage","contract-insurance-object-environmentaldamage","contract-insurance-object-environmentaldamage"
"Verträge","Versicherung","Sach","Wohngebäude","contract","insurance","object","residentialbuilding","contract-insurance-object-residentialbuilding","contract-insurance-object-residentialbuilding"
"Verträge","Versicherung","Sach","Tierhalterhaftpflicht","contract","insurance","object","animalownerliability","contract-insurance-object-animalownerliability","contract-insurance-object-animalownerliability"
"Verträge","Versicherung","Sach","Tierchirurgie","contract","insurance","object","animalsurgery","contract-insurance-object-animalsurgery","contract-insurance-object-animalsurgery"
"Verträge","Versicherung","Sach","Unfall","contract","insurance","object","accident","contract-insurance-object-accident","contract-insurance-object-accident"
"Verträge","Versicherung","Gewerbe","Gebäude","contract","insurance","business","building","contract-insurance-business-building","contract-insurance-business-building"
"Verträge","Versicherung","Gewerbe","Rechtsschutz","contract","insurance","business","legalprotection","contract-insurance-business-legalprotection","contract-insurance-business-legalprotection"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract","insurance","business","managerliability","contract-insurance-business-managerliability","contract-insurance-business-managerliability"
"Verträge","Versicherung","KFZ","Motorrad","contract","insurance","car","motorcycle","contract-insurance-car-motorcycle","contract-insurance-car-motorcycle"
"Verträge","Versicherung","KFZ","Auto","contract","insurance","car","car","contract-insurance-car-car","contract-insurance-car-car"
"Verträge","Versicherung","KFZ","Wohnwagen","contract","insurance","car","caravan","contract-insurance-car-caravan","contract-insurance-car-caravan"
"Verträge","Versicherung","KFZ","Wohnmobil","contract","insurance","car","camper","contract-insurance-car-camper","contract-insurance-car-camper"
"Verträge","Versicherung","KFZ","Traktor","contract","insurance","car","tractor","contract-insurance-car-tractor","contract-insurance-car-tractor"
"Verträge","Kredit","Kredit","freie Verwendung","contract","credit","credit","freeuse","contract-credit-credit-freeuse","contract-credit-credit-freeuse"
"Verträge","Kredit","Kredit","Modernisierung","contract","credit","credit","modernization","contract-credit-credit-modernization","contract-credit-credit-modernization"
"Verträge","Kredit","KFZ","Auto","contract","credit","car","car","contract-credit-car-car","contract-credit-car-car"
"Verträge","Kredit","KFZ","Motorboot","contract","credit","car","boat","contract-credit-car-boat","contract-credit-car-boat"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract","loan","realestate","annuityloan","contract-loan-realestate-annuityloan","contract-loan-realestate-annuityloan"
"Verträge","Darlehen","Immobilie","Tilgungsdarlehen","contract","loan","realestate","amortizationloan","contract-loan-realestate-amortizationloan","contract-loan-realestate-amortizationloan"
"Verträge","Darlehen","Immobilie","Endfällige Darlehen","contract","loan","realestate","bulletloans","contract-loan-realestate-bulletloans","contract-loan-realestate-bulletloans"
"Verträge","Darlehen","Immobilie","Kündigungsdarlehen","contract","loan","realestate","callloan","contract-loan-realestate-callloan","contract-loan-realestate-callloan"
"Verträge","Darlehen","Immobilie","Laufzeitzinsdarlehen","contract","loan","realestate","termloan","contract-loan-realestate-termloan","contract-loan-realestate-termloan"
"Verträge","Darlehen","Immobilie","Partiarische Darlehen","contract","loan","realestate","participatoryloans","contract-loan-realestate-participatoryloans","contract-loan-realestate-participatoryloans"
"Verträge","Darlehen","Immobilie","Rollierende Geldmarktdarlehen","contract","loan","realestate","rollingmarketloans","contract-loan-realestate-rollingmarketloans","contract-loan-realestate-rollingmarketloans"
"Verträge","Darlehen","Immobilie","Modernisierung","contract","loan","realestate","modernization","contract-loan-realestate-modernization","contract-loan-realestate-modernization"
"Verträge","Darlehen","Förderung","Bafög","contract","loan","support","studentloans","contract-loan-support-studentloans","contract-loan-support-studentloans"
"Verträge","Darlehen","Kredit","Kreditvertrag","contract","loan","credit","creditcontract","contract-loan-credit-creditcontract","contract-loan-credit-creditcontract"
"Verträge","Mietvertrag","Wohnen","Hausmietvertrag","contract","rentalcontract","reside","houselease","contract-rentalcontract-reside-houselease","contract-rentalcontract-reside-houselease"
