id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
68;Modernisierung;2023-06-13 00:00:00;jaynaApp.group-type.modernization;15;;;
69;freie Verwendung;2023-06-13 00:00:00;jaynaApp.group-type.free-use;15;;;
70;Risiko Lebensversicherung;2023-06-13 00:00:00;jaynaApp.group-type.risk-life-insurance;28;;;
71;Rentenversicherung Fonds;2023-06-13 00:00:00;jaynaApp.group-type.pension-insurance-fund;28;;;
72;Berufsunfähigkeit;2023-06-13 00:00:00;jaynaApp.group-type.disability-insurance;28;;;
73;Pflegeversicherung;2023-06-13 00:00:00;jaynaApp.group-type.care-insurance;28;;;
74;Rentenversicherung klassisch;2023-06-13 00:00:00;jaynaApp.group-type.pension-insurance;28;;;
75;Pflegetagegeld;2023-06-13 00:00:00;jaynaApp.group-type.daily-care-allowance;28;;;
76;Autotelefon;2023-06-13 00:00:00;jaynaApp.group-type.car-phone;20;;;
77;Handy;2023-06-13 00:00:00;jaynaApp.group-type.mobile;20;;;
78;Tablet;2023-06-13 00:00:00;jaynaApp.group-type.tablet;20;;;
79;Mini;2023-06-13 00:00:00;jaynaApp.group-type.mini-job;2;contract;;employment-contract
80;Teilzeit;2023-06-13 00:00:00;jaynaApp.group-type.half-time;2;contract;;employment-contract
81;Vollzeit;2023-06-13 00:00:00;jaynaApp.group-type.full-time;2;contract;;employment-contract
82;Aushilfe;2023-06-13 00:00:00;jaynaApp.group-type.help;2;contract;;employment-contract
83;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.internship;2;contract;;employment-contract
84;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.termination-agreement;2;contract;;employment-contract
85;Werkvertrag;2023-06-13 00:00:00;jaynaApp.group-type.work-contract;2;contract;;employment-contract
86;Strom;2023-06-13 00:00:00;jaynaApp.group-type.electricity;8;;;
87;Unfall;2023-06-13 00:00:00;jaynaApp.group-type.accident;29;;;
88;Hausrat;2023-06-13 00:00:00;jaynaApp.group-type.household-goods;29;;;
89;Wohngebäude;2023-06-13 00:00:00;jaynaApp.group-type.residential-building;29;;;
90;Rechtsschutz;2023-06-13 00:00:00;jaynaApp.group-type.legal-protection;29;;;
91;Privathaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.personal-liability;29;;;
92;Bauherrenhaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.builders-liability;29;;;
