id;name;sub_category_id;translation_key
32;Gewerbehaus;16;jaynaApp.real-estate.sub-category-group.commercial-building
33;Halle;16;jaynaApp.real-estate.sub-category-group.hall
34;Wohnhaus;16;jaynaApp.real-estate.sub-category-group.residential-building
35;Wohn + Gewerbehaus;16;jaynaApp.real-estate.sub-category-group.commercial-residential-building
36;Parkfläche;16;jaynaApp.real-estate.sub-category-group.parking-space
37;Bewirtschaftung;16;jaynaApp.real-estate.sub-category-group.farmland
38;Garten;16;jaynaApp.real-estate.sub-category-group.garden
39;Grund;17;jaynaApp.real-estate.sub-category-group.ground
