id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by
49;Motorrad;2023-06-13 00:00:00;jaynaApp.contract.group-type.motorcycle;10;contract;;contract-sale-sale-salecontract;system
50;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;14;contract;;contract-creditcard-credit-creditcard;system
51;Wohnwagen;2023-06-13 00:00:00;jaynaApp.contract.group-type.caravan;14;contract;;contract-creditcard-credit-creditcard;system
52;Motorboot;2023-06-13 00:00:00;jaynaApp.contract.group-type.boat;14;contract;;contract-creditcard-credit-creditcard;system
53;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;16;contract;;contract-lease-lease-leasecontract;system
54;Auto;2023-06-13 00:00:00;jaynaApp.contract.group-type.car;24;contract;;contract-lease-lease-leasecontract;system
55;Wohnmobil;2023-06-13 00:00:00;jaynaApp.contract.group-type.camper;24;contract;;contract-lease-lease-leasecontract;system
56;Motorrad;2023-06-13 00:00:00;jaynaApp.contract.group-type.motorcycle;26;contract;;contract-insurance-automobile-automobilecontract;system
57;Wohnwagen;2023-06-13 00:00:00;jaynaApp.contract.group-type.caravan;26;contract;;contract-insurance-automobile-automobilecontract;system
58;Wohnmobil;2023-06-13 00:00:00;jaynaApp.contract.group-type.camper;26;contract;;contract-insurance-automobile-automobilecontract;system
59;Traktor;2023-06-13 00:00:00;jaynaApp.contract.group-type.tractor;26;contract;;contract-insurance-automobile-automobilecontract;system
60;gesetzliche Krankenversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.statutory-health-insurance;27;contract;;contract-insurance-health-healthcontract;system
61;Ausland;2023-06-13 00:00:00;jaynaApp.contract.group-type.abroad;27;contract;;contract-insurance-inthealth-inthealthcontract;system
62;Privat Zusatz Zahn;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-teeth;27;contract;;contract-insurance-priaddtooth-priaddtoothcontract;system
63;Privat Zusatz stationär;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-stationary;27;contract;;contract-insurance-priaddstat-priaddstatcontract;system
64;Privat Zusatz ambulant;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-outpatient;27;contract;;contract-insurance-priaddout-priaddoutcontract;system
65;Privat Kranken voll;2023-06-13 00:00:00;jaynaApp.contract.group-type.additional-insurance-full;27;contract;;contract-insurance-health-prisickfullcontract;system
66;Krankentagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.sick-pay;27;contract;;contract-insurance-dailysickness-dailysicknesscontract;system
67;Krankenhaustagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.hospital-per-diem;27;contract;;contract-insurance-dailyhospital-dailyhospitalcontract;system
68;Umschuldung;2023-06-13 00:00:00;jaynaApp.contract.group-type.rescheduling;15;contract;;contract-creditcard-credit-creditcard;system
69;Modernisierung;2023-06-13 00:00:00;jaynaApp.contract.group-type.modernization;15;contract;;contract-creditcard-credit-creditcard;system
70;freie Verwendung;2023-06-13 00:00:00;jaynaApp.contract.group-type.free-use;15;contract;;contract-creditcard-credit-creditcard;system
71;Risiko Lebensversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.risk-life-insurance;28;contract;;contract-insurance-risklife-risklifecontract;system
72;Rentenversicherung Fonds;2023-06-13 00:00:00;jaynaApp.contract.group-type.pension-insurance-fund;28;contract;;contract-insurance-pensionfund-pensionfundcontract;system
73;Berufsunfähigkeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.disability-insurance;28;contract;;contract-insurance-disability-disabilitycontract;system
74;Pflegeversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.care-insurance;28;contract;;contract-insurance-longtermcare-longtermcarecontract;system
75;Rentenversicherung klassisch;2023-06-13 00:00:00;jaynaApp.contract.group-type.pension-insurance;28;contract;;contract-insurance-classicpension-classicpensioncontract;system
