id;name;sub_category_id
32;Gewerbe;16
33;Misch;16
34;Halle;16
35;Haus;16
36;Wohnung;16
37;Parkplatz;16
38;Nebengebäude;16
39;Bewirtschaftung;17
40;Garten;17
41;Grund;17
42;Parkplatz;17
