id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
216;Naked;2023-06-13 00:00:00;jaynaApp.mobility.group-type.naked;52;mobility;;naked;system;STATIC
217;Srambler;2023-06-13 00:00:00;jaynaApp.mobility.group-type.srambler;52;mobility;;srambler;system;STATIC
218;Streetfighter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.streetfighter;52;mobility;;streetfighter;system;STATIC
219;Stuntbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.stuntbike;52;mobility;;stuntbike;system;STATIC
220;Trial;2023-06-13 00:00:00;jaynaApp.mobility.group-type.trial;52;mobility;;trial;system;STATIC
221;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-city;53;mobility;;pedelec;system;STATIC
222;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-cross;53;mobility;;pedelec;system;STATIC
223;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-tricycle;53;mobility;;pedelec;system;STATIC
224;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-folding-bike;53;mobility;;pedelec;system;STATIC
225;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-gravel;53;mobility;;pedelec;system;STATIC
226;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-cargo;53;mobility;;pedelec;system;STATIC
227;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-lifestyle;53;mobility;;pedelec;system;STATIC
228;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-mtb;53;mobility;;pedelec;system;STATIC
229;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-racing-bike;53;mobility;;pedelec;system;STATIC
230;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-speed-bike;53;mobility;;pedelec;system;STATIC
231;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-suv;53;mobility;;pedelec;system;STATIC
232;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-trekking-bike;53;mobility;;pedelec;system;STATIC
233;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-xxl;53;mobility;;pedelec;system;STATIC
234;4x4;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-4x4;54;mobility;;quad;system;STATIC
235;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-c;54;mobility;;quad;system;STATIC
236;Elektro;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-electro;54;mobility;;quad;system;STATIC
237;Kinder;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-children;54;mobility;;quad;system;STATIC
238;Offroad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-offroad;54;mobility;;quad;system;STATIC
239;Pocket;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-pocket;54;mobility;;quad;system;STATIC
240;Renn;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-race;54;mobility;;quad;system;STATIC
241;Road;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-road;54;mobility;;quad;system;STATIC
242;Side by Side;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-side-by-side;54;mobility;;quad;system;STATIC
243;Segelboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sailing-boat;55;mobility;;sailboat;system;STATIC
244;Segelyacht;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sailing-yacht;55;mobility;;sailboat;system;STATIC
245;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor;system;STATIC
246;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor;system;STATIC
247;Träker;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor;system;STATIC
248;mit Alkoven;2023-06-13 00:00:00;jaynaApp.mobility.group-type.alkoven;57;mobility;;camper;system;STATIC
249;teilintegriert;2023-06-13 00:00:00;jaynaApp.mobility.group-type.semi-integrated;57;mobility;;camper;system;STATIC
250;vollintegriert;2023-06-13 00:00:00;jaynaApp.mobility.group-type.fully-integrated;57;mobility;;camper;system;STATIC
251;Familien;2023-06-13 00:00:00;jaynaApp.mobility.group-type.family;58;mobility;;caravan;system;STATIC
252;Luxus;2023-06-13 00:00:00;jaynaApp.mobility.group-type.luxury;58;mobility;;caravan;system;STATIC
253;Sport;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sport;58;mobility;;caravan;system;STATIC
254;Zelt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tent;58;mobility;;caravan;system;STATIC
255;Zwei-Personen;2023-06-13 00:00:00;jaynaApp.mobility.group-type.two-persons;58;mobility;;caravan;system;STATIC
256;Kontaktgruppe;2023-06-13 00:00:00;jaynaApp.contact.group-type.contact-group;44;contact;;contact-group;system;STATIC
257;Auslandsreise;2023-06-13 00:00:00;jaynaApp.contract.group-type.foreign-travel;27;contract;;insurance-travel-sickness;system;STATIC
258;Hausverwaltung;2023-06-13 00:00:00;jaynaApp.contract.group-type.property-management;5;contract;;property-management;system;STATIC
259;Mietverwaltung;2023-06-13 00:00:00;jaynaApp.contract.group-type.rental-management;5;contract;;rental-management;system;STATIC
