id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
22;Tisch;2023-06-13 00:00:00;jaynaApp.contract.group-type.table;12;contract;;sale-contract;system;STATIC
23;Handy;2023-06-13 00:00:00;jaynaApp.contract.group-type.mobile;11;contract;;sale-contract;system;STATIC
24;Fernseher;2023-06-13 00:00:00;jaynaApp.contract.group-type.tv;11;contract;;sale-contract;system;STATIC
25;Gebäude;2023-06-13 00:00:00;jaynaApp.contract.group-type.building;30;contract;;insurance-residential;system;STATIC
26;D&O Managerhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.manager-liability;30;contract;;insurance-domanager;system;STATIC
27;Rechtsschutz;2023-06-13 00:00:00;jaynaApp.contract.group-type.legal-protection;30;contract;;insurance-legal-protection;system;STATIC
28;Gas;2023-06-13 00:00:00;jaynaApp.contract.group-type.gas;9;contract;;energy;system;STATIC
29;Fernwärme;2023-06-13 00:00:00;jaynaApp.contract.group-type.district-heating;9;contract;;energy;system;STATIC
30;Öl;2023-06-13 00:00:00;jaynaApp.contract.group-type.oil;9;contract;;energy;system;STATIC
31;Annuitätendarlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.annuity-loan;4;contract;;contract-loan-credit-creditcontract;system;STATIC
32;Modernisierung;2023-06-13 00:00:00;jaynaApp.contract.group-type.modernization;4;contract;;contract-loan-credit-creditcontract;system;STATIC
33;Tilgungsdarlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.amortization-loan;4;contract;;contract-loan-credit-creditcontract;system;STATIC
34;Laufzeitzinsdarlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.term-loan;4;contract;;contract-loan-credit-creditcontract;system;STATIC
35;Partiarische Darlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.participatory-loans;4;contract;;contract-loan-credit-creditcontract;system;STATIC
36;Abrufdarlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.call-loan;4;contract;;contract-loan-credit-creditcontract;system;STATIC
37;Rollierende Geldmarktdarlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.rolling-market-loans;4;contract;;contract-loan-credit-creditcontract;system;STATIC
38;Endfällige Darlehen;2023-06-13 00:00:00;jaynaApp.contract.group-type.bullet-loans;4;contract;;contract-loan-credit-creditcontract;system;STATIC
39;Wohnung;2023-06-13 00:00:00;jaynaApp.contract.group-type.apartment;13;contract;;sale-contract;system;STATIC
40;Haus;2023-06-13 00:00:00;jaynaApp.contract.group-type.house;13;contract;;sale-contract;system;STATIC
41;Grunderwerbssteuer;2023-06-13 00:00:00;jaynaApp.contract.group-type.real-estate-tax;13;contract;;sale-contract;system;STATIC
42;Ferienwohnung;2023-06-13 00:00:00;jaynaApp.contract.group-type.holiday-apartment;23;contract;;lease;system;STATIC
43;Ferienhaus;2023-06-13 00:00:00;jaynaApp.contract.group-type.holiday-house;23;contract;;lease;system;STATIC
44;Raum;2023-06-13 00:00:00;jaynaApp.contract.group-type.room;23;contract;;lease;system;STATIC
